Frame_Pair,MSE,Inverse SSIM,LPIPS
1_vs_2,6.335928,0.012620,0.009076
2_vs_3,5.886326,0.008104,0.005641
3_vs_4,11.414913,0.017910,0.010072
4_vs_5,11.923525,0.017934,0.010159
5_vs_6,12.755335,0.012630,0.007987
6_vs_7,20.190662,0.011561,0.005919
7_vs_8,32.188327,0.016968,0.007563
8_vs_9,39.288388,0.018231,0.010348
9_vs_10,46.198761,0.019761,0.011478
10_vs_11,57.580996,0.018928,0.011197
11_vs_12,76.160212,0.023688,0.014169
12_vs_13,94.124686,0.026104,0.014262
13_vs_14,101.771806,0.023007,0.015545
14_vs_15,113.245585,0.022636,0.016606
15_vs_16,119.724283,0.026644,0.020213
16_vs_17,117.609116,0.029640,0.019276
17_vs_18,95.596214,0.029619,0.019091
18_vs_19,77.131809,0.025803,0.019563
19_vs_20,69.081717,0.027171,0.017519
20_vs_21,71.663281,0.039719,0.022189
21_vs_22,78.190163,0.038523,0.024363
22_vs_23,84.086844,0.040086,0.026794
23_vs_24,83.372781,0.042407,0.025163
24_vs_25,80.774029,0.042012,0.026429
25_vs_26,63.300319,0.033728,0.022558
26_vs_27,52.349297,0.032384,0.019437
27_vs_28,41.380080,0.025839,0.014811
28_vs_29,35.101521,0.020076,0.012501
29_vs_30,29.555668,0.020213,0.013714
30_vs_31,30.664636,0.030502,0.017063
31_vs_32,36.707507,0.046342,0.017712
32_vs_33,29.155182,0.035118,0.015533
33_vs_34,23.676826,0.027051,0.013065
34_vs_35,14.981911,0.022945,0.011284
35_vs_36,6.984925,0.009338,0.005613
36_vs_37,2.696769,0.003747,0.002195
37_vs_38,1.352177,0.003678,0.002257
38_vs_39,4.279318,0.010780,0.006186
39_vs_40,10.377529,0.022069,0.009967
40_vs_41,21.205312,0.039270,0.015040
41_vs_42,16.513383,0.030024,0.012794
42_vs_43,7.522998,0.010793,0.006773
43_vs_44,8.466157,0.009785,0.005572
44_vs_45,18.993588,0.020524,0.010275
45_vs_46,24.605321,0.022090,0.012018
46_vs_47,33.215976,0.023147,0.012161
47_vs_48,43.938152,0.028255,0.014497
48_vs_49,50.768750,0.028363,0.017111
49_vs_50,63.726114,0.036509,0.023956
50_vs_51,78.366332,0.038868,0.023861
